,subj,block_num,block_name,targTheta,n_probes,probeTheta_loc,targOrNoTarg,acc,pm_acc,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word0_cond,word1_cond,word2_cond,word3_cond,word4_cond,word5_cond,word6_cond,word7_cond,word8_cond,word9_cond,word10_cond,word11_cond,word12_cond,word13_cond,word14_cond,topTheta1,topTheta2,topTheta3,topTheta4,topTheta5,topTheta6,topTheta7,topTheta8,topTheta9,topTheta10,topTheta11,topTheta12,topTheta13,topTheta14,topTheta15,botTheta1,botTheta2,botTheta3,botTheta4,botTheta5,botTheta6,botTheta7,botTheta8,botTheta9,botTheta10,botTheta11,botTheta12,botTheta13,botTheta14,botTheta15,topTheta0,botTheta0,respProbe0,rtProbe0,probe0_acc,respProbe1,rtProbe1,probe1_acc,respProbe2,rtProbe2,probe2_acc,respProbe3,rtProbe3,probe3_acc,respProbe4,rtProbe4,probe4_acc,respProbe5,rtProbe5,probe5_acc,respProbe6,rtProbe6,probe6_acc,respProbe7,rtProbe7,probe7_acc,respProbe8,rtProbe8,probe8_acc,respProbe9,rtProbe9,probe9_acc,respProbe10,rtProbe10,probe10_acc,respProbe11,rtProbe11,probe11_acc,respProbe12,rtProbe12,probe12_acc,respProbe13,rtProbe13,probe13_acc,respProbe14,rtProbe14,probe14_acc
147,994,4,maintain3,"(2, 15)",14,bot,1,,,rung,ploot,yeer,rule,route,lewn,round,prott,rough,sithe,root,klume,room,pimk,,word,nonword,nonword,word,word,nonword,word,nonword,word,nonword,word,nonword,word,nonword,,7,8,5,12,10,16,10,4,3,16,15,15,13,,,4,18,16,10,14,4,17,14,18,14,12,4,2,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,994,4,maintain3,"(16, 12)",10,top,0,,,tren,roof,lerk,yug,yix,fraw,role,rock,tij,road,,,,,,nonword,word,nonword,nonword,nonword,nonword,word,word,nonword,word,,,,,,10,18,2,1,7,5,19,6,4,,,,,,,19,5,8,13,4,11,9,14,11,,,,,,,19.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,994,4,maintain3,"(9, 6)",15,top,1,,,risk,hege,rise,mafe,viff,ripe,yish,ring,right,pol,rich,rice,rest,wepe,muvh,word,nonword,word,nonword,nonword,word,nonword,word,word,nonword,word,word,word,nonword,nonword,19,3,7,17,3,19,13,10,1,20,14,20,7,9,,1,20,13,20,19,20,15,18,18,13,8,1,1,1,,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,994,4,maintain3,"(13, 6)",3,bot,0,,,rent,reign,voot,,,,,,,,,,,,,word,word,nonword,,,,,,,,,,,,,5,16,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,994,4,maintain3,"(5, 3)",13,top,1,,,reel,vuk,red,treez,real,read,kile,neeg,reach,quiss,raw,cleak,rate,,,word,nonword,word,nonword,word,word,nonword,nonword,word,nonword,word,nonword,word,,,9,20,19,12,8,8,17,3,15,15,19,5,,,,2,9,13,7,12,11,8,10,20,6,16,16,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,994,4,maintain3,"(18, 9)",11,top,1,,,cless,spog,rare,range,ramp,raise,raid,hink,race,bence,pror,,,,,nonword,nonword,word,word,word,word,word,nonword,word,nonword,nonword,,,,,3,20,14,13,1,1,15,16,1,18,,,,,,20,10,11,16,10,7,17,13,2,20,,,,,,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,994,4,maintain3,"(9, 3)",4,top,1,,,quick,roud,queen,gulk,,,,,,,,,,,,word,nonword,word,nonword,,,,,,,,,,,,2,7,9,,,,,,,,,,,,,10,2,20,,,,,,,,,,,,,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,994,4,maintain3,"(8, 1)",1,bot,1,,,quart,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,994,4,maintain3,"(19, 2)",15,bot,0,,,mik,purse,freeg,loke,koom,birk,kire,bude,yiz,pump,pull,lik,proud,proof,prime,nonword,word,nonword,nonword,nonword,nonword,nonword,nonword,nonword,word,word,nonword,word,word,word,14,14,20,1,12,8,7,15,6,3,12,1,16,9,,8,3,8,15,11,6,12,2,5,12,17,3,9,3,,11.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,994,4,maintain3,"(20, 16)",12,top,0,,,priest,pride,praise,shig,pour,pound,spens,mofe,mij,pot,post,rould,,,,word,word,word,nonword,word,word,nonword,nonword,nonword,word,word,nonword,,,,10,11,10,19,5,4,14,9,17,3,6,,,,,17,4,15,3,1,8,5,14,6,15,7,,,,,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,994,4,maintain3,"(6, 19)",9,top,0,,,mreen,port,pope,poor,crik,pool,ribe,fers,point,,,,,,,nonword,word,word,word,nonword,word,nonword,nonword,word,,,,,,,18,15,5,8,18,20,2,12,,,,,,,,3,1,10,20,12,15,8,7,,,,,,,,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,994,4,maintain3,"(19, 9)",10,bot,0,,,plunge,plug,nert,plot,speds,playing,toz,tuh,vrip,play,,,,,,word,word,nonword,word,nonword,word,nonword,nonword,nonword,word,,,,,,12,11,4,20,1,11,10,9,2,,,,,,,9,13,12,13,9,6,17,13,20,,,,,,,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,994,4,maintain3,"(12, 20)",11,top,1,,,toph,plate,plant,soom,poosh,ret,plane,plan,smoy,duv,plain,,,,,nonword,word,word,nonword,nonword,nonword,word,word,nonword,nonword,word,,,,,19,7,15,8,5,9,15,7,9,12,,,,,,15,3,17,19,14,10,8,13,18,18,,,,,,18.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,994,4,maintain3,"(1, 3)",8,top,0,,,klud,thuf,sut,place,duf,culs,pit,pipe,,,,,,,,nonword,nonword,nonword,word,nonword,nonword,word,word,,,,,,,,18,19,5,4,17,7,14,,,,,,,,,9,9,19,20,12,5,17,,,,,,,,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,994,4,maintain3,"(6, 10)",9,bot,0,,,pint,lup,pung,pin,pile,fut,piece,pick,grush,,,,,,,word,nonword,nonword,word,word,nonword,word,word,nonword,,,,,,,15,10,15,7,3,11,16,4,,,,,,,,2,2,7,16,13,14,2,16,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,994,4,maintain3,"(5, 20)",14,top,1,,,luss,phrase,vlump,phase,droom,pet,scroon ,groon,pen,noot,peer,peace,poom,pause,,nonword,word,nonword,word,nonword,word,nonword,nonword,word,nonword,word,word,nonword,word,,10,13,4,14,13,4,4,6,3,11,7,1,5,,,15,16,6,9,15,7,10,2,11,17,10,13,8,,,13.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,994,4,maintain3,"(11, 12)",3,bot,0,,,hoon,patch,paste,,,,,,,,,,,,,nonword,word,word,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,6,13,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,994,4,maintain3,"(20, 7)",12,top,1,,,oost,floog,past,pass,part,park,pan,pair,boomn,paint,pain,shoop,,,,nonword,nonword,word,word,word,word,word,word,nonword,word,word,nonword,,,,5,6,4,14,11,1,8,18,17,19,20,,,,,15,5,7,17,1,13,9,17,10,13,8,,,,,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,994,4,maintain3,"(19, 15)",8,bot,1,,,boofs,paid,page,roosh,sude,own,ounce,once,,,,,,,,nonword,word,word,nonword,nonword,word,word,word,,,,,,,,16,1,2,14,8,1,13,,,,,,,,,18,13,1,20,2,2,19,,,,,,,,,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
