,subj,block,targTheta,n_probes,probeTheta_loc,targOrNoTarg,acc,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word0_cond,word1_cond,word2_cond,word3_cond,word4_cond,word5_cond,word6_cond,word7_cond,word8_cond,word9_cond,word10_cond,word11_cond,word12_cond,word13_cond,word14_cond,topTheta1,topTheta2,topTheta3,topTheta4,topTheta5,topTheta6,topTheta7,topTheta8,topTheta9,topTheta10,topTheta11,topTheta12,topTheta13,topTheta14,topTheta15,botTheta1,botTheta2,botTheta3,botTheta4,botTheta5,botTheta6,botTheta7,botTheta8,botTheta9,botTheta10,botTheta11,botTheta12,botTheta13,botTheta14,botTheta15,topTheta0,botTheta0,respProbe0,rtProbe0,probe0_acc,respProbe1,rtProbe1,probe1_acc,respProbe2,rtProbe2,probe2_acc,respProbe3,rtProbe3,probe3_acc,respProbe4,rtProbe4,probe4_acc,respProbe5,rtProbe5,probe5_acc,respProbe6,rtProbe6,probe6_acc,respProbe7,rtProbe7,probe7_acc,respProbe8,rtProbe8,probe8_acc,respProbe9,rtProbe9,probe9_acc,respProbe10,rtProbe10,probe10_acc,respProbe11,rtProbe11,probe11_acc,respProbe12,rtProbe12,probe12_acc,respProbe13,rtProbe13,probe13_acc,respProbe14,rtProbe14,probe14_acc
181,s999,5,110,14,bot,,,taids,prime,viv,dape,truke,perd,file,born,hoff,hep,fight,lap,free,mit,,nonword,word,nonword,nonword,nonword,nonword,word,word,nonword,nonword,word,word,word,nonword,,150,30,50,10,150,30,80,10,130,20,160,120,110,,,50,40,150,70,30,60,20,10,100,140,70,150,110,,,50.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,s999,5,20,15,bot,,,vide,judge,thoke,blilns,space,teth,boge,ard,trip,scratch,nice,raze,ake,brave,trin,nonword,word,nonword,nonword,word,nonword,nonword,nonword,word,word,word,nonword,nonword,word,nonword,170,40,120,150,60,160,160,130,130,30,80,50,60,20,,170,80,80,110,40,30,60,10,150,170,80,80,160,20,,70.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,s999,5,150,8,bot,,,cut,gick,club,ceck,sod,tall,came,mad,,,,,,,,word,nonword,word,nonword,word,word,word,word,,,,,,,,80,10,80,100,40,60,150,,,,,,,,,40,140,160,110,110,120,150,,,,,,,,,20.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,s999,5,20,11,bot,,,reeg,meet,mooh,cruel,test,cart,pej,desk,dev,door,spell,,,,,nonword,word,nonword,word,word,word,nonword,word,nonword,word,word,,,,,160,120,60,10,100,70,70,130,50,20,,,,,,100,150,110,120,10,160,160,150,130,20,,,,,,140.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,s999,5,80,10,top,,,bax,fun,ploot,foof,news,frub,science,fooze,still,trame,,,,,,nonword,word,nonword,nonword,word,nonword,word,nonword,word,nonword,,,,,,10,130,150,160,50,140,70,70,80,,,,,,,130,70,170,150,20,110,110,150,80,,,,,,,30.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,s999,6,100,10,top,,,thark,plamps,reex,hold,seemb,splant,bear,det,jalp,grokk,,,,,,nonword,nonword,nonword,word,nonword,nonword,word,nonword,nonword,nonword,,,,,,110,130,60,60,160,110,170,40,100,,,,,,,140,20,50,40,60,160,140,160,20,,,,,,,120.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,s999,6,30,12,top,,,fing,screep,proud,spoke,shoge,core,strain,tep,tail,smoals,turn,poo,,,,nonword,nonword,word,word,nonword,word,word,nonword,word,nonword,word,nonword,,,,10,140,20,100,140,130,40,100,160,140,30,,,,,60,70,130,60,120,160,40,20,100,80,130,,,,,10.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,s999,6,120,8,bot,,,sob,jope,bropp,llap,priest,grown,grase,pet,,,,,,,,word,nonword,nonword,nonword,word,word,nonword,word,,,,,,,,40,20,40,100,40,150,100,,,,,,,,,160,110,60,70,150,160,120,,,,,,,,,50.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,s999,6,10,3,bot,,,crix,fall,yine,,,,,,,,,,,,,nonword,word,nonword,,,,,,,,,,,,,20,140,,,,,,,,,,,,,,130,10,,,,,,,,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,s999,6,100,15,bot,,,race,yish,bick,stride,twig,reign,whap,fraud,roke,poc,kade,sweet,firp,meef,yidge,word,nonword,nonword,word,word,word,nonword,word,nonword,nonword,nonword,word,nonword,nonword,nonword,130,70,170,20,160,10,70,50,50,170,10,50,30,80,,20,150,160,160,80,30,160,80,140,120,110,80,50,100,,40.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,s999,6,170,9,bot,,,spite,shlike,style,land,greem,bore,twalc,court,sea,,,,,,,word,nonword,word,word,nonword,word,nonword,word,word,,,,,,,110,70,80,110,100,110,110,20,,,,,,,,160,20,80,60,70,140,140,170,,,,,,,,50.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,s999,6,70,13,top,,,dusk,proth,wind,zipe,face,milp,bribe,crowd,brap,strumed,write,gas,waint ,,,word,nonword,word,nonword,word,nonword,word,word,nonword,nonword,word,word,nonword,,,40,80,120,160,140,60,100,50,80,160,60,70,,,,140,30,140,110,130,30,50,100,80,150,140,160,,,,150.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,s999,6,60,10,top,,,risp,bov,two,jophe,fork,lewn,dust,till,wawl,labe,,,,,,nonword,nonword,word,nonword,word,nonword,word,word,nonword,nonword,,,,,,120,40,80,150,10,110,70,160,60,,,,,,,170,140,70,70,120,80,20,160,160,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,s999,6,80,11,bot,,,flot,send,jev,guest,pile,froof,wieked,grig,rund,flipe,broke,,,,,nonword,word,nonword,word,word,nonword,nonword,nonword,nonword,nonword,word,,,,,40,170,150,150,110,70,110,60,100,110,,,,,,160,20,170,140,140,10,110,150,20,80,,,,,,150.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,s999,6,110,14,top,,,down,sad,her,grind,han,plag,flock,halt,weev,frox,per,zidt,sack,pate,,word,word,word,word,nonword,nonword,word,word,nonword,nonword,nonword,nonword,word,nonword,,10,40,70,140,20,160,100,20,60,50,160,160,110,,,130,140,140,50,120,40,60,40,20,40,60,120,10,,,140.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,s999,6,120,13,bot,,,tain,gire,mort,part,riz,simple,loss,rish,besp,tip,throat,house,som,,,nonword,nonword,nonword,word,nonword,word,word,nonword,nonword,word,word,word,nonword,,,100,160,110,100,20,110,40,130,20,130,140,160,,,,140,30,80,130,100,80,60,70,100,60,130,120,,,,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,s999,6,70,11,bot,,,kreen,sight,woc,pide,pick,shock,course,pool,us,cels,through,,,,,nonword,word,nonword,nonword,word,word,word,word,word,nonword,word,,,,,60,140,20,60,50,20,100,130,30,30,,,,,,160,140,60,150,170,130,20,150,40,70,,,,,,10.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,s999,6,160,2,top,,,mile,droff,,,,,,,,,,,,,,word,nonword,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,s999,6,10,9,bot,,,teek,kel,state,jam,hat,muvh,hair,view,scroods,,,,,,,nonword,nonword,word,word,word,nonword,word,word,nonword,,,,,,,130,60,20,100,40,170,80,30,,,,,,,,140,80,140,120,170,170,170,10,,,,,,,,110.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,s999,6,100,15,top,,,rush,sore,haf,frank,spring,short,sold,bix,lawned,whook,roop,fape,date,map,wave,word,word,nonword,word,word,word,word,nonword,nonword,nonword,nonword,nonword,word,word,word,170,30,170,140,60,130,140,120,80,130,80,70,130,100,,150,20,140,140,110,130,60,120,30,150,140,50,170,40,,130.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,s999,6,130,1,top,,,vim,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,s999,6,110,14,top,,,first,bump,hive,stake,crooc,trial,breet,five,toil,psanx,shed,herns,long,match,,word,word,word,word,nonword,word,nonword,word,word,nonword,word,nonword,word,word,,120,30,150,30,10,100,40,160,130,30,50,130,110,,,40,160,20,40,120,60,160,50,70,140,160,140,140,,,170.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,s999,6,60,8,bot,,,slease,rofe,vrot,link,twands,leth,pint,tothe,,,,,,,,nonword,nonword,nonword,word,nonword,nonword,word,nonword,,,,,,,,120,150,130,80,50,100,30,,,,,,,,,120,70,170,170,130,80,60,,,,,,,,,170.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
