subj,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost,pm_probe_rt
s01,Baseline,0.6858066801001265,0.9052132701421801,0.9052132701421801,,
s01,Maintain,0.8302297932379636,0.8848545898545896,0.85,0.14442311313783718,1.2556980073451995
s01,MnM,0.9979697407305796,0.8206630869130871,0.575,0.312163060630453,1.0345190823078156
s01,Monitor,0.8486953004932225,0.8718475968475969,0.875,0.16288862039309604,0.8413698315620423
s02,Baseline,0.7489677290221555,0.9476190476190476,0.943127962085308,,
s02,Maintain,0.7798855153667151,0.9413369963369963,0.875,0.030917786344559668,1.2175573874742558
s02,MnM,1.1940860219512668,0.9380046342546345,0.825,0.44511829292911137,1.0444511633652906
s02,Monitor,0.9819601984181467,0.9438092463092463,0.9,0.23299246939599158,0.9438774347305298
s03,Baseline,0.6102249587791554,0.981042654028436,0.981042654028436,,
s03,Maintain,0.716034375371443,0.9568736088472932,0.75,0.10580941659228758,1.308846288257175
s03,MnM,0.9174001247502753,0.9183451270951271,0.725,0.3071751659711197,0.9844848070389185
s03,Monitor,0.7671985120383554,0.935757645132645,0.75,0.15697355325920007,0.7731466054916382
s04,Baseline,0.5932111681676379,0.9760765550239234,0.966824644549763,,
s04,Maintain,0.6272241851241941,0.9514878177378178,0.875,0.03401301695655614,1.2217657942520945
s04,MnM,0.8351266588282573,0.9004213147963149,0.525,0.2419154906606195,0.8836858749389649
s04,Monitor,0.695509816559714,0.9456727994227994,0.7,0.10229864839207621,0.7706108450889587
s05,Baseline,0.7473468967512542,0.966824644549763,0.966824644549763,,
s05,Maintain,0.8455179466526157,0.8938257575757577,0.575,0.09817104990136151,1.5555486815316337
s05,MnM,1.0753316001112414,0.7599236874236875,0.4,0.327984703359987,1.0013255069130345
s05,Monitor,1.0083878129811226,0.8572745310245311,0.725,0.26104091622986825,0.930700135231018
s06,Baseline,0.8586587649125319,0.9330143540669856,0.9241706161137441,,
s06,Maintain,0.775526892468248,0.9591772116772116,0.825,-0.08313187244428367,1.314767782504742
s06,MnM,0.9581138968765436,0.8873207348207348,0.325,0.09945513196401193,1.036683669457069
s06,Monitor,0.7937421419227945,0.9257378038628039,0.8,-0.06491662298973726,0.8334886908531189
s07,Baseline,0.7694525671477365,0.957345971563981,0.957345971563981,,
s07,Maintain,0.8330774417725458,0.8952556471306471,0.675,0.06362487462480934,1.209378769523219
s07,MnM,1.013942258390051,0.8021397352647354,0.275,0.24448969124231448,1.1190662384033203
s07,Monitor,0.907710894737481,0.9098704714089331,0.7,0.13825832758974427,0.8195438996339456
s08,Baseline,0.6446249393316416,0.9381443298969072,0.8625592417061612,,
s08,Maintain,0.6734287369221766,0.8758075951825951,0.65,0.028803797590535165,1.1588599926386125
s08,MnM,0.802962852124853,0.780499014874015,0.45,0.15833791279321166,0.8142644982588919
s08,Monitor,0.6741519175906604,0.8739720002220002,0.575,0.029526978259018753,0.6920403063297271
s09,Baseline,0.630366929538587,0.9317073170731708,0.9052132701421801,,
s09,Maintain,0.6534288368319966,0.9493693806193806,0.875,0.023061907293409623,1.240872859954834
s09,MnM,0.9273933628641345,0.8165078671328674,0.325,0.2970264333255477,0.9757774817316156
s09,Monitor,0.7772773027674068,0.8648858086358084,0.65,0.14691037322881983,0.7944264717591114
s10,Baseline,0.7520355383555094,0.909952606635071,0.909952606635071,,
s10,Maintain,0.8547796857787526,0.8957253163503166,0.85,0.1027441474232432,1.2449624416155693
