subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('maintain1', 2)",1.0,0.9417746861775717,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.9603445529937744,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.8819716410203413,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.9687246481577555,0.9230769230769231,Maintain
s01,"('maintain1', 2)",1.0,0.7730613855215219,0.9285714285714286,Maintain
s01,"('maintain1', 2)",0.0,1.005480209986369,0.75,Maintain
s01,"('maintain1', 2)",1.0,0.9582752227783203,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.9587853505061223,1.0,Maintain
s01,"('maintain1', 2)",1.0,1.0479556719462078,0.8571428571428571,Maintain
s01,"('maintain1', 2)",1.0,1.0035906488245183,0.9166666666666666,Maintain
s01,"('maintain1', 2)",0.0,0.8933004273308648,0.9,Maintain
s01,"('maintain1', 2)",1.0,0.8909692287445068,1.0,Maintain
s01,"('maintain1', 2)",1.0,1.1035393079121907,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.9269725799560546,0.9090909090909091,Maintain
s01,"('maintain1', 2)",0.0,0.844210684299469,0.8888888888888888,Maintain
s01,"('maintain1', 2)",1.0,0.9830408573150635,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.8629317794527326,1.0,Maintain
s01,"('maintain1', 2)",1.0,0.838555592757005,0.9285714285714286,Maintain
s01,"('maintain1', 2)",0.0,0.6528871854146322,0.75,Maintain
s01,"('maintain1', 2)",1.0,0.7947497538157872,1.0,Maintain
s01,"('maintain2', 5)",1.0,0.8735436598459879,0.75,Maintain
s01,"('maintain2', 5)",1.0,0.8694464365641276,0.5,Maintain
s01,"('maintain2', 5)",1.0,0.8891253471374512,0.9230769230769231,Maintain
s01,"('maintain2', 5)",1.0,0.7692920168240865,0.8571428571428571,Maintain
s01,"('maintain2', 5)",1.0,1.0236260890960693,1.0,Maintain
s01,"('maintain2', 5)",1.0,0.744764349677346,0.8,Maintain
s01,"('maintain2', 5)",1.0,0.7068910965552697,0.9333333333333333,Maintain
s01,"('maintain2', 5)",1.0,0.7943413972854614,0.9090909090909091,Maintain
