subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('base1', 1)",,,0.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,1.0738739967346191,1.0,Baseline
s01,"('base1', 1)",1.0,0.9900448322296144,1.0,Baseline
s01,"('base1', 1)",1.0,0.6581320762634277,1.0,Baseline
s01,"('base1', 1)",1.0,0.8382771015167236,1.0,Baseline
s01,"('base1', 1)",1.0,0.8662891387939453,1.0,Baseline
s01,"('base1', 1)",1.0,0.8463549613952637,1.0,Baseline
s01,"('base1', 1)",1.0,0.5703439712524414,1.0,Baseline
s01,"('base1', 1)",1.0,0.6621460914611816,1.0,Baseline
s01,"('base1', 1)",1.0,0.6341769695281982,1.0,Baseline
s01,"('base1', 1)",1.0,0.7101500034332275,1.0,Baseline
s01,"('base1', 1)",1.0,0.5537750720977783,1.0,Baseline
s01,"('base1', 1)",1.0,0.4370758533477783,1.0,Baseline
s01,"('base1', 1)",1.0,0.6089138984680176,1.0,Baseline
s01,"('base1', 1)",1.0,0.6131319999694824,1.0,Baseline
s01,"('base1', 1)",1.0,0.8010210990905762,1.0,Baseline
s01,"('base1', 1)",1.0,0.6374080181121826,1.0,Baseline
s01,"('base1', 1)",1.0,0.9215781688690186,1.0,Baseline
s01,"('base1', 1)",1.0,0.757526159286499,1.0,Baseline
s01,"('base1', 1)",1.0,0.8653190135955809,1.0,Baseline
s01,"('base1', 1)",1.0,0.5176799297332764,1.0,Baseline
s01,"('base1', 1)",1.0,0.6335039138793945,1.0,Baseline
s01,"('base1', 1)",1.0,0.4696011543273926,1.0,Baseline
s01,"('base1', 1)",1.0,1.1926720142364502,1.0,Baseline
s01,"('base1', 1)",1.0,0.7167119979858398,1.0,Baseline
s01,"('base1', 1)",1.0,0.7208511829376221,1.0,Baseline
s01,"('base1', 1)",1.0,0.8284459114074707,1.0,Baseline
s01,"('base1', 1)",1.0,0.6162998676300049,1.0,Baseline
s01,"('base1', 1)",1.0,0.8359711170196533,1.0,Baseline
s01,"('base1', 1)",1.0,0.6800861358642578,1.0,Baseline
s01,"('base1', 1)",1.0,0.5963499546051025,1.0,Baseline
