"","mon_mnm1","mon_mnm2","mon_mnm3","mon_mnm4"
"1",-38.0216242032854,-40.0215812024668,-41.6657023829871,-39.5671111871868
"2",-0.307998126601305,4.59078637557455,2.61732191297509,1.02562817795202
"3",-26.2304822435995,-27.7888970716522,-27.6813049443616,-26.5565633111147
"4",-20.0734200093949,-20.6115634931562,-21.6938141359606,-16.8387038378704
"5",-2.70113826970533,-3.87755912400026,-5.41943935491415,-6.16321966290938
"6",-9.13189640783637,-8.29372085383651,-9.89889847945042,-11.7400242819743
"7",-3.47902947635309,-3.43370056961571,-1.70252422273555,-3.42824916000786
"8",-4.329479167658,-6.30040986171844,-3.40403816458587,-0.286834301529722
"9",-8.44633355622594,-9.04141783114416,-11.0379147276849,-12.6943290430479
"10",-35.1488793548361,-36.1108234429736,-38.0472241091748,-37.5027565828472
"11",-9.55199324396235,-11.3225656560671,-10.0548729403627,-10.1190702718187
"12",-20.6786940539156,-18.9226587773519,-15.5804270352932,-17.0043746472924
"13",-0.85886805234273,-2.67940255110014,-2.87957079384516,-3.93505257717812
"14",-27.1821908551585,-9.69662606874131,-8.69658264375607,-10.4814440385063
"15",-36.6791858340547,-38.2269142150803,-25.3258946270307,-25.4759578231965
"16",-8.44752824830392,-3.05961292170232,-4.94320062465076,-6.29754631666922
"17",-9.82644906130745,-11.7335594947768,-13.7300243454708,-10.2994877946349
"18",-21.2376756983241,-20.7591571933466,-22.7481157915893,-24.5649971058599
"19",-10.0054436641293,-10.0058180725919,-10.3880223542234,-12.2577283245343
"20",-19.0775152732979,-20.9659066799333,-20.8856838445796,-20.993959892106
"21",-4.17690260533723,-6.13357243392348,-7.15240395655297,-6.32098158452646
"22",-11.0113073037236,-12.2036382959632,-12.1670248306703,-12.1997099942708
"23",-25.854093462465,-27.8435672678341,-23.5646342777784,-21.352847487231
"24",-18.0785503542651,-18.3516987923579,-14.198029570065,-15.1438167590559
"25",-14.773620523668,-16.3055389862383,-17.8926752702489,-13.2956989038309
"26",-19.7912802819524,-21.7807904092512,-21.6172730284869,-18.9023841180581
"27",-24.3651759555202,-25.8587672434849,-27.6606955319984,-27.5044156051325
"28",-10.4205433623158,-12.3708619648327,-11.7384443516224,-13.3115814506602
"29",-7.40271109252386,-8.9416425621726,-10.4586480102971,-12.195072072658
"30",-2.74333652811077,-0.453518046372457,-1.45139142434335,-3.16260224830826
"31",-24.3408295244632,-24.5661089096172,-25.8097193794386,-25.1089293339558
"32",-16.68893142724,-14.2540680169521,-16.2540411842658,-11.6537365935623
"33",-9.10490475031763,-9.13187075480908,1.77524642144152,0.0476781317182051
"34",-20.8077665131163,-21.8041720952384,-13.5770958620333,-8.22654810229756
"35",-28.6502860048229,-28.3602615772655,-30.3373444645481,-30.7012940077429
"36",-8.11030318414745,-9.12380201304254,-8.97702997779514,-9.12888386958274
"37",-29.9560025567658,-31.7664232790559,-33.6897031634923,-32.1190607101158
"38",-28.7642650887199,-25.9340924041697,-24.5361728955989,-26.4973591078654
"39",-27.1286624379056,-28.5817085646705,-28.7362894925192,-28.443669732223
"40",-8.44626420903031,-10.4337710069705,-10.0299186966486,-4.90827440448135
"41",-24.4668998844632,-26.387278216377,-25.7972991643961,-24.6099629969959
"42",-10.994901276827,-9.03684576438842,-10.6019965649764,-12.5849373025937
"43",-5.81723923871612,-4.78110933587137,-5.60283932782264,-7.33540480649842
"44",-24.0661200275955,-25.2458298823823,-25.7665594684952,-26.7589405227217
"45",-19.0872183621044,-21.0674587507295,-20.3656994105452,-20.3316359694991
"46",-11.6794257664702,-13.1542315965752,-14.5494664778147,-15.8382162292688
"47",-22.4203684471242,-20.6719163959536,-19.8005656222307,-19.1855596488744
"48",-10.4899124963991,-11.7769080200751,-13.7386655758858,-14.8780632061276
"49",-2.81292310831702,-3.9940553488407,-5.43020066293312,-5.91775973822471
"50",-27.6286420533986,-27.6399468752123,-25.7895166433242,-19.6520184980242
"51",-11.3706908965489,-13.310888334656,-15.3043008452952,-7.82577518263444
"52",-27.5011200925551,-29.2924438094395,-19.1748744385626,-9.3597690900589
"53",-14.5485315640385,-15.548079882219,-13.6928536638605,-13.2385726246326
"54",-6.17298998882012,-7.95042077718359,-8.77051504611497,-7.67804726951536
"55",-25.8766311757014,-24.6212269049825,-25.7618081852539,-25.3362061754973
"56",-19.9142790160228,-20.6075427530887,-19.7206931215918,-18.585906273009
"57",-24.0071371341647,-24.9952417630001,-21.009327861979,-13.942301550941
"58",-8.8096826348405,-8.42601309369287,-8.92852832703075,-10.4518026259948
"59",-15.9153866101617,-17.8991297103469,-17.6101463750914,-13.5042494816261
"60",-15.0872480587978,-16.6901770535035,-17.6265933417812,-15.6872808114484
"61",-21.4826151067623,-23.2529473461386,-25.2052801469485,-24.7672079546397
"62",-7.59184191791697,-9.11392646435786,-4.51288988494538,-2.73510057565467
"63",-27.6365072485252,-29.0214781016446,-31.0212716705292,-30.7608172986444
"64",-22.1305800148276,-18.5450256345881,-12.2180264315745,-12.179616121934
"65",-17.5552768207872,-17.9542139795288,-10.788965772256,-12.2685675118472
"66",-10.0405538729479,-11.9323552873422,-12.0548551151948,-11.3701930841617
"67",6.87228381478895,5.76573859917835,6.46991416058262,5.93801017023017
"68",-1.82062143296656,-3.23463745714402,-1.33044193517038,-0.200209670737133
"69",-16.1739739942512,-17.1706502259828,-19.0312868647967,-19.8667443756614
"70",-20.4635121871119,-22.2728992462956,-23.9179818388611,-21.6233603340449
"71",-4.77074326162266,-5.14829447656636,-3.72040663224854,-5.59932949480635
"72",-15.5106706089562,-17.4286057736432,-15.4445656110464,-12.01306206757
"73",-18.609332928036,-20.5935659438444,-19.7948559162149,-18.7053185634124
"74",-9.92556550878469,-11.3742732574957,-9.9930324468387,-8.89358602783909
"75",-22.8836661680776,-24.1754995509161,-23.8659792226435,-23.5665971274323
"76",-5.14058097353957,-5.5220204787194,-7.51482794815531,-8.96639118615637
"77",-16.8636831405503,-18.3705799305093,-19.8897455507753,-21.6798207636901
"78",-20.412946168853,-20.591780691468,-15.2548741514691,-11.607231879533
"79",-15.4002168554942,-14.638970825226,-15.572268538863,-12.8966901371841
"80",-14.2981475105038,-14.5031031351986,-11.1411474580894,-10.5727258768688
"81",-11.4456518174152,-12.5856506443924,-13.9039967113627,-12.3390921637121
"82",-15.5524702666178,-17.5479587462859,-15.0641819306745,-14.2418329546371
"83",-18.7916436534899,-17.9707002528244,-15.2192665433351,-14.8203387854016
"84",-34.0150960584568,-33.3692083910595,-34.7181784018975,-33.0339368990833
"85",-6.19566360858837,-7.9032546845477,-3.3640283353101,-2.99921843385443
"86",-17.3822989872816,-19.0651369135837,-18.9843797945808,-17.2781973428073
"87",-17.6251495956402,-8.00476464561581,-9.84262551153697,-11.2106612799167
"88",-31.7081627547131,-33.6473663605368,-35.356119033552,-36.3080860318778
"89",-24.2738625076267,-24.7576609284395,-26.6519049481356,-24.2495348520161
"90",-6.96235766369139,-8.9407879979664,-10.6798872760202,-8.96639118615637
"91",-30.299457447426,-32.2472002033142,-22.9028523670403,-16.2295158963259
"92",-36.7578190931549,-36.8928373775414,-30.2133922127733,-25.1852557599705
"93",-0.860954422247312,-2.40663908417465,-2.14960578091538,0.629555061018564
"94",-20.2970239698208,-22.1715922077974,-17.1622404753385,-14.9185187113784
"95",-18.3694309477517,-16.9821372581405,-16.3308194527741,-16.1153903552507
"96",-33.6023150298279,-32.9373929396466,-26.7530704308018,-28.3816789602287
"97",-16.0665485053702,-16.4379932258783,-8.5193417161991,-8.5817056090126
"98",-4.29844426187895,-5.74532576407461,-7.60586527394437,-5.50401806662214
"99",-19.9589303849516,-21.9068466808672,-23.8674971056534,-18.5497892868821
"100",-10.6831998521386,-12.6812153390308,-6.83473869344733,-2.16347164290361
"101",-23.408432175131,-25.1361163793197,-27.1117894892834,-21.9250584269434
"102",-7.16945096921666,-8.92312483862108,-10.8989861317221,-10.7245696319297
"103",-25.3869960699793,-27.3797007168572,-27.1971159844986,-26.0343604716048
"104",-19.8364001215182,-21.4188896986838,-21.8789776249038,-22.1648711731626
"105",-6.34053677962896,-8.02004631483739,-10.0134624039922,-10.1021738094443
"106",-18.9864313184329,-20.8976111544642,-22.6101144123396,-12.2585024571753
"107",-21.6060496245998,-23.2830237512233,-20.3202203121114,-14.9474399601213
"108",-5.91479482855409,-7.65391643801025,-9.49662228593067,-7.06783924399359
"109",-12.239671571024,-10.6186952562521,-11.9820166099857,-12.6192861241
"110",-20.307139818979,-19.1595080127215,-20.714370235949,-20.6590850243806
"111",-3.58917541705624,-3.20594968030216,-4.68488863526135,-6.57291798005271
"112",-27.6678851760138,-29.4389127713977,-13.5746388225414,-6.9452477905336
"113",-26.1003980718671,-27.8768186395231,-29.6384277447487,-28.5564114626813
"114",-6.61521775038637,-8.44618964605757,-9.70864656215259,-3.85487887021601
"115",-14.2891385094,-16.2103092487934,-17.1627183738369,-14.67309776325
"116",-21.8387621706747,-23.3857162232827,-24.6884586580757,-25.3362061754973
"117",-14.1872161870179,-15.240127956403,-17.2054030671034,-17.9664142377935
"118",-11.791193029728,-9.4393198491532,-2.67508630126974,-2.7959000116059
"119",-1.68033566546018,-2.83182968139544,0.895732343212119,0.621074232487237
"120",-17.4821823613592,-19.4342330959769,-11.7121426876098,-10.7275525890601
"121",-9.44987214119192,-11.2391513584582,-4.0690205465661,-3.50696678517583
"122",-15.283884316534,-17.2759418347137,-18.313612302949,-15.2519347980979
"123",-39.2948270467433,-37.6637573324757,-18.3289345631124,-16.1230455598785
"124",-18.2592442222713,-19.5270794681828,-19.9424710119975,-19.1910598053912
"125",-10.0026709781442,-11.9970281046508,-10.5189130911872,-5.6039363473036
"126",-10.6676199012213,-10.9100318161332,-12.3985329281665,-13.153032170538
"127",-42.9047880559596,-44.5940728962107,-37.4671302324759,-37.8365479481799
"128",-22.7621930615156,-24.4497665285782,-18.7803266208375,-18.4920682038774
"129",-22.9687861050019,-22.5063378461617,-24.2381993148873,-26.1384875116999
"130",-50.581534710702,-45.8993427834735,-45.3279088999959,-47.311406199817
"131",-7.6862220457376,-9.39469150629445,-11.3942176424754,-10.0236599466487
"132",-34.2934745993411,-34.0882571221405,-27.8431180602901,-28.2854347845782
"133",-8.20741358559324,-10.2059813057527,-9.00486007556233,-6.04995256019011
"134",-1.90912852161329,4.34538270754029,9.96791435068973,8.2740819382145
"135",5.39101037076208,4.19675562777746,2.25736001424864,2.31202982079651
"136",-0.35256668494161,-2.35240457960434,-2.77706792569781,-0.977092183594723
"137",-20.2834471413524,-22.2673179415066,-18.0706855129846,-12.7373843506352
"138",-7.54465126846992,-8.64711389821299,-9.26791184918597,-9.95261352629844
"139",-13.3880283752679,-14.822420878536,-16.7574946227089,-17.5353670379852
"140",-15.4340849441714,-17.4317983361196,-18.9651733045732,-19.5039471003734
"141",-9.64288418936272,-11.6398039719154,-13.1838833420345,-5.78731396170628
"142",-19.915878687235,-20.0122442479983,-15.7389753546436,-14.9581873363511
"143",-18.6694468231654,-17.7947635212845,-5.24610675260353,-5.53488785269683
"144",-13.8186654456786,-15.8168307849819,-14.4605104216268,-11.9269663407178
"145",-24.1730104316042,-12.6686717447457,-14.3722858241664,-14.9350426410731
"146",-1.06543130233984,-2.40870969037602,-2.93311104933603,-3.93568448871051
"147",-13.3807198479836,-14.0107007512187,-13.0899203483376,-11.3482300827037
"148",-12.3356407112237,-13.9105305916542,-9.09442240638821,-9.54194020575576
"149",-22.422462413487,-23.938739084959,-22.0091298046328,-22.2556577703809
"150",-14.1472426049421,-15.2113605951285,-14.6314434545085,-14.8780632061276
"151",-7.35309024033631,-7.86419277097152,-9.77802582954643,-10.2309092586688
"152",-23.030298220993,-22.7901476012978,-24.1009621818271,-20.7761232927002
"153",-14.5434600407804,-15.5619745232924,-15.4804676059018,-15.3061009221742
"154",-15.3143487560532,-16.1995963123792,-15.4705173845385,-16.8447637401206
"155",-18.4272208296043,-20.3821449079444,-17.9781194821721,-14.3606311642903
"156",-27.4127201602488,-29.2480885607232,-31.2412591965392,-28.2739921789389
"157",-15.7427538619653,-17.3681993003585,-19.1334979873121,-18.3813631413926
"158",-9.94999710161041,-11.9160093334386,-13.2552320466652,-9.78464335851632
"159",-21.9675262951897,-20.4398414885601,-21.9982279733713,-21.6535277873125
"160",-13.1481948122577,-11.6716924042796,-10.5663272217506,-10.6783615269877
"161",-24.0550371089753,-24.2687918809852,-23.0944246508712,-24.4387291736876
"162",-16.1486413039287,-14.6862469735055,-11.02697576295,-12.9911529698466
"163",-37.0210080605124,-38.0432117961329,-35.7510650704788,-29.8055952625431
"164",-27.1809693664091,-27.6201565335947,-15.8246194313822,-13.6065238121332
"165",-22.2803130826565,-23.9996043172207,-23.3049314710171,-21.1850397587992
"166",-3.65613922527122,-5.26802438035802,-4.01719097795047,-3.9856363011892
"167",-28.6630354313568,-18.9725882922155,-18.7223855529362,-20.1332249771488
"168",-22.3493187223516,-22.9576546991832,-24.3150693336298,-22.5192860324878
"169",-11.1738174575467,-13.04925183223,-8.10301626915664,-9.62389164238189
"170",-17.1245419141974,-19.1156477477266,-20.5067131222277,-21.5329909277692
"171",-9.3859978125843,-10.7636635060425,-12.1076203889791,-9.8546689946677
"172",-10.4941538554042,-11.8582109613303,-12.6211635651381,-12.8966901371841
"173",-0.520726784138338,1.16557403041718,-0.523709025492943,-1.38181054096109
"174",-28.2975421338363,-28.2682318349641,-28.5563054473346,-26.9734039107731
"175",-6.90475316911251,-7.92060926782846,-2.93747697859634,-4.3095829576409
"176",-11.8280951689977,-12.7795247205542,-14.7781191273393,-15.7344411329673
"177",-19.0813322382881,-19.9905157186057,-21.6263713488147,-19.9899516805081
"178",-30.79335670807,-32.5040544716056,-17.1186224091606,-11.1623949265083
"179",-1.95461653486058,-3.72319522333461,-2.86531785816125,-0.426975680910098
"180",-8.31407554128891,-10.0510783026114,-9.74690228609832,-8.83087745054226
"181",-2.46717829627445,-4.26224444489281,-4.33820399343896,-2.82910138106465
"182",-44.1856212089421,-40.3315138019832,-26.528757271652,-27.8607728833157
"183",-43.8578358759001,-44.8690795811923,-46.6847268504095,-44.097057950699
"184",-24.4725784001267,-24.3925816958801,-25.3387001599372,-26.3268034100596
"185",3.28229143935749,1.28239856727591,1.76369930580376,1.47000755360217
"186",-13.3174233431996,-13.9197401023055,-12.8502616718667,-13.5569528232554
"187",-18.4904803516627,-20.1355706507648,-17.6094516939855,-17.0670006220882
"188",-13.507669309728,-15.3496873954531,-16.229731936126,-14.102319100115
"189",-23.0905686067936,-21.0224434092583,-12.5374538210615,-12.4058535152048
"190",-17.6463066717323,-19.6461586575186,-12.3706892568332,-12.1556709069993
"191",-12.5465630803223,-8.13661088145901,-0.131006216966512,-1.94497828770518
"192",-19.4809200287428,-18.6801679565463,-17.7144200355356,-5.1790010126149
"193",-16.633543346084,-18.5682714855289,-14.636261386085,-12.8322654808315
"194",-12.5182165264719,-13.8486603834303,-11.5063122854472,-10.2670277382395
"195",-16.552581482884,-14.0654796112266,-9.04232418167679,-11.0314572922789
"196",-6.52600968888715,-8.41001393162243,-7.22077362147624,-4.81197181667727
"197",-7.40587851058821,-8.81451011083264,-9.34104414741206,-10.6768718096705
"198",-9.33960983289295,-11.0677505806501,-11.2200158665899,-9.22366997761733
"199",-24.2126418839379,-25.927874886526,-19.7004688469398,-19.8611528311591
"200",-29.0067099591384,-30.9711365245477,-32.8751274592102,-34.725953219382
"201",-16.41406325171,-17.9687575679263,-11.4045084056525,-10.4636566195722
"202",-19.0101727221362,-18.6340528824863,-19.8786420374204,-19.9404375870146
"203",-19.7007380156213,-19.6556601956351,-21.2113494415144,-22.1422058999652
"204",-16.0395484796638,-14.8554015897855,-15.8605902319604,-15.1396640613181
"205",-35.9470649097267,-37.52033751749,-38.1791491401859,-37.9349005546974
"206",-11.0375800818387,-12.8330359942556,-12.1572635099842,-10.2618660069845
"207",-16.265259636625,-18.1377699332546,-19.2674069222292,-17.9628552872476
"208",-14.9036923308699,-16.8228676715387,-18.7534765512462,-15.0235589632987
"209",-18.5836165109458,-20.5836082351743,-22.5749479678315,-16.7030236803228
"210",-14.3356132840172,-14.3432259027066,-6.50532345126411,-8.00054427045228
"211",-12.8637813140105,-14.833561149588,-11.0987374254718,-8.19078035941796
"212",-6.40297493505735,-8.09439839994537,-9.4789196649238,-8.13473688283126
"213",-15.1955663364638,-15.6904465317077,-14.7429205376274,-16.0992340599974
"214",-18.2122444787797,-14.0926853602653,-13.1801149093717,-13.2171707739595
"215",-19.9625655783018,-19.1468301783019,-11.7332548840873,-13.3099929190832
"216",3.4510267764954,2.16753028057507,4.28453610251926,2.61745878569304
"217",-9.93194459449165,-11.3189133363598,-12.3744731993724,-11.2031159156935
"218",-9.1342121836599,-2.44641495664001,-4.43255315598752,1.84546148940427
"219",-19.6678511061892,-21.0745953380886,-22.7312481330504,-22.5829691828507
"220",-10.2152049004907,-12.0898527991581,-3.49652818234622,0.591660437646494
"221",-3.79338615919751,-5.55444765497624,-7.28384907267793,-7.45297303248024
"222",-12.3711653839973,-10.7626055214419,-12.6612232517799,-14.5509359971247
"223",-10.8945857088689,-9.44466401058336,-7.3262610218012,-9.32372006106024
"224",-10.4221990369401,-11.5729896868017,-12.2999987145541,-12.9809089782883
"225",-11.6647865204152,-12.1453688037887,-14.1442809606982,-14.0747968878278
"226",-20.3462742254951,-22.0543874253393,-20.8924046722849,-20.482732510508
"227",-17.2998099618516,-17.8863275660815,-19.8668199483404,-19.5224268068138
"228",-11.8119689142898,-12.2908623558292,-14.2830351711225,-12.704501672429
"229",-14.5128446908539,-16.0297851541599,-16.6331452782868,-15.5813680085786
"230",-0.904316060476237,-2.81653269055627,-4.7768773474976,-3.93252502843724
"231",-27.3743980639849,-23.5064526455224,-25.4981437853974,-27.4920663765236
"232",-28.4644028529506,-30.1255833946652,-24.3852850301877,-23.8162360680534
"233",-9.55880412624849,-5.78915673305317,-7.12994529571944,-8.84298413536139
"234",0.14793828791437,1.27937907973102,2.04317021158708,2.76046968337783
"235",-4.38421315499631,-5.43835074489282,-7.36710335634591,-8.2012970450951
"236",-23.108159883857,-22.1748861051712,-17.331090063651,-16.5918763089788
