block,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost,pm_probe_rt,subj
"('base1', 1)",Baseline,0.7148690223693848,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6548490524291992,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5306081771850586,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5415060520172119,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7761921882629395,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5234889984130859,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.4932379722595215,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5512869358062744,1.0,1.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,0.6199309825897217,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5563120841979979,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7676260471343994,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7544040679931641,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.8275060653686523,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7660691738128662,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5603067874908447,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5124571323394775,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.9468619823455809,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5012719631195068,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6083540916442871,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.8589801788330078,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.3487961292266846,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.3608248233795166,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.0365149974822998,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.8196330070495605,1.0,1.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,0.4484148025512695,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.8580288887023926,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.0195159912109375,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5418369770050049,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7372410297393799,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7012310028076172,1.0,1.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,1.2305090427398682,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6745970249176025,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.605158805847168,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6649219989776611,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7328698635101318,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.7210650444030762,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.1410460472106934,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6653361320495605,1.0,1.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,0.7611880302429199,1.0,1.0,,,s01
"('base1', 1)",Baseline,1.261657953262329,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5699079036712646,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.6300010681152344,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5059192180633545,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.9734420776367188,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.665273904800415,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.5493519306182861,1.0,1.0,,,s01
"('base1', 1)",Baseline,0.8093929290771484,1.0,1.0,,,s01
"('base1', 1)",Baseline,,0.0,0.0,,,s01
"('base1', 1)",Baseline,0.7536079883575441,1.0,1.0,,,s01
