subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('monitor1', 3)",1.0,1.0536251068115234,0.8461538461538461,Monitor
s01,"('monitor1', 3)",1.0,0.8458355903625489,0.7692307692307693,Monitor
s01,"('monitor1', 3)",1.0,0.8360514640808105,0.75,Monitor
s01,"('monitor1', 3)",1.0,0.7976092208515514,0.9166666666666666,Monitor
s01,"('monitor1', 3)",1.0,1.0212593078613281,1.0,Monitor
s01,"('monitor1', 3)",1.0,0.8011150360107422,1.0,Monitor
s01,"('monitor1', 3)",1.0,0.9771547555923462,1.0,Monitor
s01,"('monitor1', 3)",1.0,0.8475590185685591,0.8,Monitor
s01,"('monitor1', 3)",1.0,0.7108195357852511,0.8181818181818182,Monitor
s01,"('monitor1', 3)",1.0,0.9762863261359078,1.0,Monitor
s01,"('monitor1', 3)",1.0,0.8933967351913452,0.8,Monitor
s01,"('monitor1', 3)",0.0,,0.0,Monitor
s01,"('monitor1', 3)",1.0,0.894071896870931,0.8181818181818182,Monitor
s01,"('monitor1', 3)",1.0,1.0242426097393036,0.8888888888888888,Monitor
s01,"('monitor1', 3)",0.0,0.6367825931972928,0.6923076923076923,Monitor
s01,"('monitor1', 3)",1.0,1.0336803793907166,0.8666666666666667,Monitor
s01,"('monitor1', 3)",1.0,0.8466893434524536,1.0,Monitor
s01,"('monitor1', 3)",0.0,0.6904129683971405,0.8888888888888888,Monitor
s01,"('monitor1', 3)",1.0,1.0308890342712402,1.0,Monitor
s01,"('monitor1', 3)",1.0,0.8225085735321045,0.875,Monitor
s01,"('monitor2', 6)",1.0,0.695206880569458,1.0,Monitor
s01,"('monitor2', 6)",1.0,1.0472944974899292,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.7867405414581299,0.8,Monitor
s01,"('monitor2', 6)",1.0,0.9711232582728068,0.9230769230769231,Monitor
s01,"('monitor2', 6)",1.0,0.8980109041387384,0.7857142857142857,Monitor
s01,"('monitor2', 6)",1.0,0.8922350406646729,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.8230831282479423,0.875,Monitor
s01,"('monitor2', 6)",1.0,0.7778129577636719,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.9055250287055969,0.5,Monitor
s01,"('monitor2', 6)",1.0,0.9121062225765653,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.878032922744751,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.8079833984375,0.9166666666666666,Monitor
s01,"('monitor2', 6)",1.0,0.949664831161499,0.9090909090909091,Monitor
s01,"('monitor2', 6)",0.0,0.6144497394561768,0.9333333333333333,Monitor
s01,"('monitor2', 6)",1.0,0.6605594158172607,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.7544739842414856,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.6909923553466797,0.9230769230769231,Monitor
s01,"('monitor2', 6)",0.0,0.7255838257925851,0.7777777777777778,Monitor
s01,"('monitor2', 6)",1.0,0.8049795844338157,1.0,Monitor
s01,"('monitor2', 6)",1.0,0.7447971403598785,0.8,Monitor
s02,"('monitor1', 3)",1.0,1.0296198981148856,0.7777777777777778,Monitor
s02,"('monitor1', 3)",1.0,1.167450189590454,1.0,Monitor
s02,"('monitor1', 3)",1.0,0.8908967971801758,1.0,Monitor
s02,"('monitor1', 3)",1.0,1.0537251125682483,0.9166666666666666,Monitor
s02,"('monitor1', 3)",1.0,0.9258229365715613,1.0,Monitor
s02,"('monitor1', 3)",0.0,1.0154503073011125,0.9333333333333333,Monitor
s02,"('monitor1', 3)",1.0,1.2183806896209717,1.0,Monitor
s02,"('monitor1', 3)",0.0,1.0605063239733379,0.9230769230769231,Monitor
s02,"('monitor1', 3)",1.0,1.035462564892239,0.8181818181818182,Monitor
s02,"('monitor1', 3)",1.0,0.9898107051849365,1.0,Monitor
s02,"('monitor1', 3)",1.0,1.0004409849643707,0.8888888888888888,Monitor
s02,"('monitor1', 3)",1.0,1.031588111604963,0.875,Monitor
s02,"('monitor1', 3)",1.0,1.0550237496693928,1.0,Monitor
s02,"('monitor1', 3)",1.0,1.0282360792160035,1.0,Monitor
s02,"('monitor1', 3)",0.0,1.0444825649261475,0.7142857142857143,Monitor
s02,"('monitor1', 3)",1.0,1.0725709795951843,0.8,Monitor
s02,"('monitor1', 3)",1.0,1.0227060715357463,1.0,Monitor
s02,"('monitor1', 3)",1.0,0.9035886923472086,1.0,Monitor
s02,"('monitor1', 3)",1.0,1.0065740255209117,0.9285714285714286,Monitor
