subj,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost
s01,Baseline,0.6858066801001265,0.9052132701421801,0.9052132701421801,
s01,Maintain,0.8730476475204249,0.8848545898545896,0.85,0.18724096742029858
s01,MnM,1.015238628225974,0.8206630869130871,0.575,0.32943194812584725
s01,Monitor,0.8482216706098011,0.8718475968475969,0.875,0.16241499050967453
s02,Baseline,0.7489677290221555,0.9476190476190476,0.943127962085308,
s02,Maintain,0.8219402679790895,0.9413369963369963,0.875,0.07297253895693426
s02,MnM,1.1870499896041191,0.9380046342546345,0.825,0.43808226058196353
s02,Monitor,0.9724043891425502,0.9438092463092463,0.9,0.2234366601203947
s03,Baseline,0.6102249587791554,0.981042654028436,0.981042654028436,
s03,Maintain,0.7821142049729132,0.9568736088472932,0.75,0.17188924619375792
s03,MnM,0.9231120547645145,0.9183451270951271,0.725,0.312887095985359
s03,Monitor,0.7717973945633144,0.935757645132645,0.75,0.16157243578415906
s04,Baseline,0.5932111681676379,0.9760765550239234,0.966824644549763,
s04,Maintain,0.6949300987000568,0.9514878177378178,0.875,0.10171893053241889
s04,MnM,0.8478198339584427,0.9004213147963149,0.525,0.2546086657908049
s04,Monitor,0.711869341965712,0.9456727994227994,0.7,0.11865817379807439
s05,Baseline,0.7473468967512542,0.966824644549763,0.966824644549763,
s05,Maintain,0.9087531097491324,0.8938257575757577,0.575,0.16140621299787825
s05,MnM,1.0767939118701226,0.7599236874236875,0.4,0.3294470151188684
s05,Monitor,0.9904126647842529,0.8572745310245311,0.725,0.24306576803299848
s06,Baseline,0.862905619070702,0.9330143540669856,0.9238095238095239,
s06,Maintain,0.8264957992766601,0.9591772116772116,0.825,-0.03216296563587212
s06,MnM,0.9620081368606599,0.8873207348207348,0.325,0.10334937194812807
s06,Monitor,0.798081447938638,0.9257378038628039,0.8,-0.06057731697389386
s07,Baseline,0.7694525671477365,0.957345971563981,0.957345971563981,
s07,Maintain,0.8796930621233582,0.8952556471306471,0.675,0.11024049497562176
s07,MnM,1.0181569135269875,0.8021397352647354,0.275,0.248704346379251
s07,Monitor,0.8947897722003362,0.9098704714089331,0.7,0.12533720505259976
s08,Baseline,0.647968447669435,0.9381443298969072,0.861904761904762,
s08,Maintain,0.7353116090719773,0.8758075951825951,0.65,0.09068666974033587
s08,MnM,0.8184200551753001,0.780499014874015,0.45,0.17379511584365887
s08,Monitor,0.6779231938442543,0.8739720002220002,0.575,0.03329825451261268
