"","main_mnm1","main_mnm2","main_mnm"
"1",-38.0216242032854,-40.0215812024668,-40.7141173023683
"2",-0.3079981266013,4.59078637557456,2.86446362937629
"3",-26.2304822435995,-27.7888970716522,-24.9078359322619
"4",-20.0734200093949,-20.6115634931562,-15.2459359782972
"5",-2.70113826970532,-3.87755912400026,-4.17766057757208
"6",-9.13189640783638,-8.2937208538365,-9.96130166493492
"7",-3.47902947635308,-3.4337005696157,-4.81070375144057
"8",-4.329479167658,-6.30040986171844,0.985705451333469
"9",-8.44633355622595,-9.04141783114417,-10.8408286961468
"10",-35.1488793548361,-36.1108234429736,-37.0934843813276
"11",-9.55199324396236,-11.3225656560671,-8.14844384795306
"12",-20.6786940539156,-18.9226587773519,-16.8302119537194
"13",-0.858868052342721,-2.67940255110012,-1.9489405675134
"14",-27.1821908551585,-9.69662606874131,-11.4410987439518
"15",-36.6791858340547,-38.2269142150803,-29.3241899161938
"16",-8.44752824830394,-3.05961292170232,-4.73318829488322
"17",-9.82644906130745,-11.7335594947768,-9.68200152320208
"18",-21.2376756983241,-20.7591571933466,-22.5990337399164
"19",-10.0054436641293,-10.0058180725918,-11.0247571080562
"20",-19.0775152732979,-20.9659066799333,-19.3597469065297
"21",-4.17690260533724,-6.13357243392349,-4.74220511118562
"22",-11.0113073037236,-12.2036382959632,-10.2923583088707
"23",-25.854093462465,-27.8435672678341,-21.3491530393902
"24",-18.0785503542651,-18.3516987923579,-13.728156277005
"25",-14.773620523668,-16.3055389862383,-12.2061415250266
"26",-19.7912802819524,-21.7807904092512,-16.9416583685368
"27",-24.3651759555202,-25.8587672434849,-25.8027159179017
"28",-10.4205433623158,-12.3708619648327,-14.3705549773734
"29",-7.40271109252386,-8.9416425621726,-10.3287647797292
"30",-2.74333652811078,-0.453518046372457,-1.32008097479128
"31",-24.3408295244632,-24.5661089096172,-23.1516166539585
"32",-16.68893142724,-14.2540680169521,-10.8409964621383
"33",-9.10490475031762,-9.13187075480908,-9.27862252266209
