subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('mnm1', 4)",1.0,1.4123636782169342,0.8,MnM
s01,"('mnm1', 4)",1.0,1.3732334136962892,1.0,MnM
s01,"('mnm1', 4)",1.0,1.250308911005656,0.9230769230769231,MnM
s01,"('mnm1', 4)",0.0,1.3892755508422852,0.5454545454545454,MnM
s01,"('mnm1', 4)",1.0,1.2759929597377777,0.8888888888888888,MnM
s01,"('mnm1', 4)",0.0,1.367673028599132,0.9166666666666666,MnM
s01,"('mnm1', 4)",1.0,1.2111511663957075,1.0,MnM
s01,"('mnm1', 4)",0.0,1.11148601770401,0.8888888888888888,MnM
s01,"('mnm1', 4)",0.0,1.0799973964691163,0.8333333333333334,MnM
s01,"('mnm1', 4)",1.0,1.0422804355621338,0.75,MnM
s01,"('mnm1', 4)",1.0,1.3989821947537935,0.9285714285714286,MnM
s01,"('mnm1', 4)",1.0,1.3418952118266712,1.0,MnM
s01,"('mnm1', 4)",1.0,1.287735919157664,0.9230769230769231,MnM
s01,"('mnm1', 4)",0.0,1.3740753477269954,0.8461538461538461,MnM
s01,"('mnm1', 4)",1.0,1.4665967226028442,1.0,MnM
s01,"('mnm1', 4)",1.0,1.54574593630704,0.8571428571428571,MnM
s01,"('mnm1', 4)",1.0,1.0815176566441853,0.8666666666666667,MnM
s01,"('mnm1', 4)",0.0,,0.0,MnM
s01,"('mnm1', 4)",1.0,1.2483899593353271,0.875,MnM
s01,"('mnm1', 4)",1.0,1.0894037485122678,1.0,MnM
s01,"('mnm2', 7)",1.0,1.0978874862194061,1.0,MnM
s01,"('mnm2', 7)",0.0,1.4508002671328457,0.9166666666666666,MnM
s01,"('mnm2', 7)",1.0,1.2767032861709595,0.7333333333333333,MnM
s01,"('mnm2', 7)",1.0,1.3319310591771052,0.9285714285714286,MnM
s01,"('mnm2', 7)",1.0,1.6162527203559875,0.6666666666666666,MnM
s01,"('mnm2', 7)",1.0,1.5630344152450562,0.6666666666666666,MnM
s01,"('mnm2', 7)",0.0,1.1239773545946394,0.6363636363636364,MnM
s01,"('mnm2', 7)",1.0,1.1789676666259765,1.0,MnM
s01,"('mnm2', 7)",1.0,1.3087047934532166,0.8888888888888888,MnM
s01,"('mnm2', 7)",1.0,1.2135789944575384,0.9285714285714286,MnM
s01,"('mnm2', 7)",0.0,1.3118361559781162,0.9166666666666666,MnM
s01,"('mnm2', 7)",0.0,1.3715350844643333,0.7333333333333333,MnM
s01,"('mnm2', 7)",1.0,1.298626388822283,0.7,MnM
s01,"('mnm2', 7)",1.0,1.0414608391848477,0.8461538461538461,MnM
s01,"('mnm2', 7)",0.0,1.038166602452596,0.6,MnM
s01,"('mnm2', 7)",0.0,1.3216033379236858,0.75,MnM
s01,"('mnm2', 7)",0.0,1.1237802505493164,0.625,MnM
s01,"('mnm2', 7)",1.0,1.0103281094477727,1.0,MnM
s01,"('mnm2', 7)",1.0,1.2234623432159424,1.0,MnM
s01,"('mnm2', 7)",1.0,1.15350022315979,1.0,MnM
s02,"('mnm1', 4)",1.0,1.2579309940338135,1.0,MnM
s02,"('mnm1', 4)",0.0,1.154221812884013,0.8571428571428571,MnM
s02,"('mnm1', 4)",0.0,1.589350938796997,0.6666666666666666,MnM
s02,"('mnm1', 4)",1.0,1.3138553500175476,0.9285714285714286,MnM
s02,"('mnm1', 4)",1.0,1.1730599403381348,1.0,MnM
s02,"('mnm1', 4)",1.0,1.1581213772296906,1.0,MnM
s02,"('mnm1', 4)",1.0,1.2960048913955688,1.0,MnM
s02,"('mnm1', 4)",1.0,1.0959218978881835,1.0,MnM
s02,"('mnm1', 4)",1.0,1.2392529845237732,0.8888888888888888,MnM
s02,"('mnm1', 4)",1.0,1.2571006351047092,0.75,MnM
s02,"('mnm1', 4)",1.0,1.1751410563786824,0.9230769230769231,MnM
s02,"('mnm1', 4)",1.0,1.2533125480016072,1.0,MnM
s02,"('mnm1', 4)",1.0,1.0325550522123064,1.0,MnM
s02,"('mnm1', 4)",1.0,1.2449970895593816,1.0,MnM
s02,"('mnm1', 4)",0.0,1.0051618682013617,0.9,MnM
s02,"('mnm1', 4)",1.0,1.2030793031056721,1.0,MnM
s02,"('mnm1', 4)",1.0,1.2711000809302697,1.0,MnM
s02,"('mnm1', 4)",1.0,1.1653042137622833,1.0,MnM
s02,"('mnm1', 4)",1.0,0.9971956968307495,1.0,MnM
s02,"('mnm1', 4)",1.0,1.1121874385409884,1.0,MnM
s02,"('mnm2', 7)",1.0,1.1603055000305176,1.0,MnM
s02,"('mnm2', 7)",1.0,0.9154692888259888,1.0,MnM
s02,"('mnm2', 7)",1.0,1.3255844116210938,1.0,MnM
s02,"('mnm2', 7)",1.0,1.1249617205725775,1.0,MnM
